firmID,analystID,yq,actual,value,nobs,no_ANA
AAPL,59325,201202,1.3314,1.4557,1361,277
AAPL,70687,201202,1.3314,1.3843,586,277
AAPL,70706,201202,1.3314,1.5014,1023,277
AAPL,70721,201202,1.3314,1.4714,97,277
AAPL,70850,201202,1.3314,1.4929,396,277
AAPL,71466,201202,1.3314,1.3929,499,277
AAPL,72029,201202,1.3314,1.5129,489,277
AAPL,72069,201202,1.3314,1.4386,1077,277
AAPL,72446,201202,1.3314,1.4257,624,277
AAPL,75007,201202,1.3314,1.5471,395,277
AAPL,75222,201202,1.3314,1.4186,273,277
AAPL,76979,201202,1.3314,1.45,352,277
AAPL,78750,201202,1.3314,1.5471,854,277
AAPL,86702,201202,1.3314,1.35,631,277
AAPL,90646,201202,1.3314,1.4814,1046,277
AAPL,92348,201202,1.3314,1.61,900,277
AAPL,106330,201202,1.3314,1.4571,710,277
AAPL,107682,201202,1.3314,1.4929,508,277
AAPL,107846,201202,1.3314,1.4214,900,277
AAPL,110208,201202,1.3314,1.55,1035,277
AAPL,113333,201202,1.3314,1.3971,572,277
AAPL,120428,201202,1.3314,1.43,426,277
AAPL,120641,201202,1.3314,1.3743,638,277
AAPL,125796,201202,1.3314,1.5957,316,277
AAPL,127008,201202,1.3314,1.5071,125,277
AAPL,132104,201202,1.3314,1.4329,123,277
AAPL,134165,201202,1.3314,1.5286,304,277
AAPL,143656,201202,1.3314,1.4543,188,277
AAPL,144094,201202,1.3314,1.4343,259,277
AAPL,155522,201202,1.3314,1.59,36,277
AAPL,1047,201203,1.2386,1.1843,729,277
AAPL,8065,201203,1.2386,1.2786,1278,277
AAPL,40319,201203,1.2386,1.25,446,277
AAPL,42413,201203,1.2386,1.2757,133,277
AAPL,44121,201203,1.2386,1.3571,686,277
AAPL,47677,201203,1.2386,1.2057,470,277
AAPL,49595,201203,1.2386,1.1871,740,277
AAPL,51096,201203,1.2386,1.2871,1055,277
AAPL,53315,201203,1.2386,1.3,539,277
AAPL,56181,201203,1.2386,1.2414,555,277
AAPL,56419,201203,1.2386,1.2771,411,277
AAPL,58063,201203,1.2386,1.3,1554,277
AAPL,58307,201203,1.2386,1.22,712,277
AAPL,58377,201203,1.2386,1.2271,389,277
AAPL,58499,201203,1.2386,1.1429,779,277
AAPL,59325,201203,1.2386,1.1971,1361,277
AAPL,70706,201203,1.2386,1.2629,1023,277
AAPL,70721,201203,1.2386,1.2643,97,277
AAPL,70850,201203,1.2386,1.2686,396,277
AAPL,71466,201203,1.2386,1.1543,499,277
AAPL,72029,201203,1.2386,1.2414,489,277
AAPL,72069,201203,1.2386,1.2757,1077,277
AAPL,72446,201203,1.2386,1.2229,624,277
AAPL,75007,201203,1.2386,1.2614,395,277
AAPL,75222,201203,1.2386,1.1557,273,277
AAPL,76979,201203,1.2386,1.2429,352,277
AAPL,78750,201203,1.2386,1.2429,854,277
AAPL,86702,201203,1.2386,1.1843,631,277
AAPL,90646,201203,1.2386,1.2171,1046,277
AAPL,92348,201203,1.2386,1.2814,900,277
AAPL,106330,201203,1.2386,1.2286,710,277
AAPL,107682,201203,1.2386,1.2943,508,277
AAPL,107846,201203,1.2386,1.2386,900,277
AAPL,108607,201203,1.2386,1.1443,684,277
AAPL,108873,201203,1.2386,1.22,158,277
AAPL,110208,201203,1.2386,1.2314,1035,277
AAPL,113333,201203,1.2386,1.3643,572,277
AAPL,120428,201203,1.2386,1.2643,426,277
AAPL,120641,201203,1.2386,1.1986,638,277
AAPL,125796,201203,1.2386,1.3829,316,277
AAPL,127008,201203,1.2386,1.3143,125,277
AAPL,132104,201203,1.2386,1.2257,123,277
AAPL,134165,201203,1.2386,1.3529,304,277
AAPL,143656,201203,1.2386,1.2714,188,277
AAPL,144094,201203,1.2386,1.28,259,277
AAPL,155522,201203,1.2386,1.1571,36,277
AAPL,1047,201204,1.9729,1.7143,729,277
AAPL,8065,201204,1.9729,1.8243,1278,277
AAPL,40319,201204,1.9729,2,446,277
AAPL,42413,201204,1.9729,1.8343,133,277
AAPL,44121,201204,1.9729,1.9571,686,277
AAPL,47677,201204,1.9729,2.0343,470,277
AAPL,49595,201204,1.9729,1.9114,740,277
AAPL,51096,201204,1.9729,1.98,1055,277
AAPL,53315,201204,1.9729,1.7929,539,277
AAPL,54719,201204,1.9729,1.71,755,277
AAPL,56181,201204,1.9729,1.9286,555,277
AAPL,56419,201204,1.9729,1.9529,411,277
AAPL,58063,201204,1.9729,1.8,1554,277
AAPL,58307,201204,1.9729,2.0343,712,277
AAPL,58377,201204,1.9729,2.0714,389,277
AAPL,58499,201204,1.9729,1.8857,779,277
AAPL,59325,201204,1.9729,1.9614,1361,277
AAPL,70706,201204,1.9729,1.7986,1023,277
AAPL,70721,201204,1.9729,2.0271,97,277
AAPL,70850,201204,1.9729,1.9571,396,277
AAPL,71466,201204,1.9729,1.7429,499,277
AAPL,72029,201204,1.9729,2.2143,489,277
AAPL,72069,201204,1.9729,1.9729,1077,277
AAPL,72446,201204,1.9729,1.7971,624,277
AAPL,73315,201204,1.9729,1.8157,549,277
AAPL,75007,201204,1.9729,2.0386,395,277
AAPL,75222,201204,1.9729,1.8214,273,277
AAPL,76979,201204,1.9729,2.0843,352,277
AAPL,78750,201204,1.9729,1.8957,854,277
AAPL,86702,201204,1.9729,1.8229,631,277
AAPL,90646,201204,1.9729,1.98,1046,277
AAPL,92348,201204,1.9729,1.7871,900,277
AAPL,106330,201204,1.9729,1.8586,710,277
AAPL,107682,201204,1.9729,2.01,508,277
AAPL,107846,201204,1.9729,2.0057,900,277
AAPL,108607,201204,1.9729,2.0043,684,277
AAPL,108873,201204,1.9729,1.9286,158,277
AAPL,110208,201204,1.9729,1.97,1035,277
AAPL,113333,201204,1.9729,2.0929,572,277
AAPL,120428,201204,1.9729,1.84,426,277
AAPL,120641,201204,1.9729,1.9329,638,277
AAPL,125796,201204,1.9729,1.9443,316,277
AAPL,127008,201204,1.9729,1.76,125,277
AAPL,132104,201204,1.9729,1.95,123,277
AAPL,134165,201204,1.9729,2.0986,304,277
AAPL,143656,201204,1.9729,2.0329,188,277
AAPL,144094,201204,1.9729,1.8286,259,277
AAPL,155522,201204,1.9729,2.03,36,277
AAPL,1047,201301,1.4414,1.4543,729,277
AAPL,8065,201301,1.4414,1.38,1278,277
AAPL,40319,201301,1.4414,1.3429,446,277
AAPL,42413,201301,1.4414,1.49,133,277
AAPL,44121,201301,1.4414,1.4143,686,277
AAPL,47677,201301,1.4414,1.7143,470,277
AAPL,49595,201301,1.4414,1.4,740,277
AAPL,51096,201301,1.4414,1.3986,1055,277
AAPL,53315,201301,1.4414,1.4071,539,277
AAPL,54719,201301,1.4414,1.3186,755,277
AAPL,56181,201301,1.4414,1.4543,555,277
AAPL,56419,201301,1.4414,1.5743,411,277
AAPL,58063,201301,1.4414,1.4243,1554,277
AAPL,58377,201301,1.4414,1.4314,389,277
AAPL,58499,201301,1.4414,1.4457,779,277
AAPL,59325,201301,1.4414,1.3414,1361,277
AAPL,70706,201301,1.4414,1.4014,1023,277
AAPL,70721,201301,1.4414,1.39,97,277
AAPL,70850,201301,1.4414,1.4286,396,277
AAPL,71466,201301,1.4414,1.4214,499,277
AAPL,72029,201301,1.4414,1.36,489,277
AAPL,72069,201301,1.4414,1.46,1077,277
AAPL,72446,201301,1.4414,1.4171,624,277
AAPL,73315,201301,1.4414,1.3543,549,277
AAPL,75007,201301,1.4414,1.4329,395,277
AAPL,75222,201301,1.4414,1.4286,273,277
AAPL,76979,201301,1.4414,1.4771,352,277
AAPL,78750,201301,1.4414,1.4286,854,277
AAPL,86702,201301,1.4414,1.37,631,277
